01, Powiat bolesławiecki 
02, Powiat dzierżoniowski 
03, Powiat głogowski 
04, Powiat górowski 
05, Powiat jaworski 
06, Powiat jeleniogórski 
07, Powiat kamiennogórski 
08, Powiat kłodzki 
09, Powiat legnicki 
10, Powiat lubański 
11, Powiat lubiński 
12, Powiat lwówecki 
13, Powiat milicki 
14, Powiat oleśnicki 
15, Powiat oławski 
16, Powiat polkowicki 
17, Powiat strzeliński 
18, Powiat średzki 
19, Powiat świdnicki 
20, Powiat trzebnicki 
21, Powiat wałbrzyski 
22, Powiat wołowski 
23, Powiat wrocławski 
24, Powiat ząbkowicki 
25, Powiat zgorzelecki 
26, Powiat złotoryjski 
61, Powiat m. Jelenia Góra 
62, Powiat m. Legnica  
64, Powiat m. Wrocław  
01, Powiat aleksandrowski  
02, Powiat brodnicki 
03, Powiat bydgoski 
04, Powiat chełmiński 
05, Powiat golubsko-dobrzyński 
06, Powiat grudziądzki 
07, Powiat inowrocławski 
08, Powiat lipnowski 
09, Powiat mogileński 
10, Powiat nakielski 
11, Powiat radziejowski 
12, Powiat rypiński 
13, Powiat sępoleński 
14, Powiat świecki 
15, Powiat toruński  
16, Powiat tucholski 
17, Powiat wąbrzeski 
18, Powiat włocławski 
19, Powiat żniński 
61, Powiat m. Bydgoszcz 
62, Powiat m. Grudziądz 
63, Powiat m. Toruń  
64, Powiat m. Włocławek 
01, Powiat bialski   
02, Powiat biłgorajski 
03, Powiat chełmski  
04, Powiat hrubieszowski   
05, Powiat janowski  
06, Powiat krasnostawski 
07, Powiat kraśnicki 
08, Powiat lubartowski 
09, Powiat lubelski 
10, Powiat łęczyński 
11, Powiat łukowski 
12, Powiat opolski 
13, Powiat parczewski 
14, Powiat puławski 
15, Powiat radzyński 
16, Powiat rycki 
17, Powiat świdnicki 
18, Powiat tomaszowski 
19, Powiat włodawski 
20, Powiat zamojski 
61, Powiat m. Biała Podlaska 
62, Powiat m. Chełm 
63, Powiat m. Lublin 
64, Powiat m. Zamość 
01, Powiat gorzowski 
02, Powiat krośnieński 
03, Powiat międzyrzecki 
04, Powiat nowosolski 
05, Powiat słubicki 
06, Powiat strzelecko-drezdenecki 
07, Powiat sulęciński 
08, Powiat świebodziński 
12, Powiat wschowski 
09, Powiat zielonogórski 
10, Powiat żagański 
11, Powiat żarski 
61, Powiat m. Gorzów Wielkopolski 
62, Powiat m. Zielona Góra 
01, Powiat bełchatowski 
21, Powiat brzeziński 
02, Powiat kutnowski 
03, Powiat łaski 
04, Powiat łęczycki 
05, Powiat łowicki   
06, Powiat łódzki wschodni 
07, Powiat opoczyński 
08, Powiat pabianicki 
09, Powiat pajęczański 
10, Powiat piotrkowski 
11, Powiat poddębicki 
12, Powiat radomszczański 
13, Powiat rawski 
14, Powiat sieradzki 
15, Powiat skierniewicki 
16, Powiat tomaszowski 
17, Powiat wieluński 
18, Powiat wieruszowski 
19, Powiat zduńskowolski 
20, Powiat zgierski 
61, Powiat m. Łódź 
62, Powiat m. Piotrków Trybunalski 
63, Powiat m. Skierniewice 
01, Powiat bocheński 
02, Powiat brzeski 
03, Powiat chrzanowski 
04, Powiat dąbrowski 
05, Powiat gorlicki 
06, Powiat krakowski 
07, Powiat limanowski 
08, Powiat miechowski  
09, Powiat myślenicki 
10, Powiat nowosądecki 
11, Powiat nowotarski 
12, Powiat olkuski 
13, Powiat oświęcimski 
14, Powiat proszowicki 
